EDT,Tarefa,Inicio,Fim,Horas,Avanco,Responsavel,Predecessoras,Nivel,Status
1,Fase de Planejamento,2026-07-01,2026-07-15,80,0,Joao Silva,,1,TODO
1.1,Definicao de Escopo,2026-07-01,2026-07-05,24,0,Joao Silva,,2,TODO
1.1.1,Levantamento de Requisitos,2026-07-01,2026-07-03,16,0,Joao Silva;Maria Santos,,3,TODO
1.1.2,Documentacao de Escopo,2026-07-03,2026-07-05,8,0,Joao Silva,1.1.1,3,TODO
1.2,Planejamento de Recursos,2026-07-05,2026-07-10,32,0,Maria Santos,1.1.2,2,TODO
1.2.1,Alocacao de Equipe,2026-07-05,2026-07-08,16,0,Maria Santos,,3,TODO
1.2.2,Contas de Ferramentas,2026-07-08,2026-07-10,16,0,Carlos Oliveira,1.2.1,3,TODO
1.3,Aprovacao do Planejamento,2026-07-10,2026-07-15,24,0,Joao Silva,1.2.2,2,TODO
2,Fase de Desenvolvimento,2026-07-15,2026-08-30,320,0,Carlos Oliveira,1.3,1,TODO
2.1,Modulo Backend,2026-07-15,2026-08-10,160,0,Carlos Oliveira,,2,TODO
2.1.1,API REST,2026-07-15,2026-07-25,80,0,Carlos Oliveira,,3,TODO
2.1.2,Banco de Dados,2026-07-25,2026-08-05,56,0,Ana Rodrigues,2.1.1,3,TODO
2.1.3,Integracao,2026-08-05,2026-08-10,24,0,Carlos Oliveira;Ana Rodrigues,2.1.2,3,TODO
2.2,Modulo Frontend,2026-07-20,2026-08-20,120,0,Ana Rodrigues,,2,TODO
2.2.1,Design de Interface,2026-07-20,2026-07-30,40,0,Ana Rodrigues,,3,TODO
2.2.2,Implementacao de Componentes,2026-07-30,2026-08-15,64,0,Ana Rodrigues;Pedro Costa,2.2.1,3,TODO
2.2.3,Testes de Interface,2026-08-15,2026-08-20,16,0,Pedro Costa,2.2.2,3,TODO
2.3,Testes Integrados,2026-08-20,2026-08-30,40,0,Joao Silva,2.1.3;2.2.3,2,TODO
3,Fase de Entrega,2026-08-30,2026-09-10,80,0,Joao Silva,2.3,1,TODO
3.1,Deploy em Producao,2026-08-30,2026-09-05,40,0,Carlos Oliveira,,2,TODO
3.2,Documentacao Final,2026-09-01,2026-09-08,24,0,Maria Santos,,2,TODO
3.3,Treinamento do Cliente,2026-09-05,2026-09-10,16,0,Joao Silva,3.1;3.2,2,TODO
